,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'mean_util_low', 'runtime_1st'})",frozenset({'low_min_gpu_util'}),0.09077062296727025,0.6352599654155953,0.09071686482515165,0.9994077583654132,1.5732264156007183,0.033053922018211515,615.8635483958616
1,"frozenset({'low_min_gpu_util', 'runtime_1st'})",frozenset({'mean_util_low'}),0.10395032747668241,0.31890225873793804,0.09071686482515165,0.872694363040855,2.736557484711962,0.05756687059628929,5.350098845038891
2,"frozenset({'wait >= run', 'queue_3rd'})",frozenset({'runtime_1st'}),0.08396125829891318,0.2495542554049332,0.06393635035973157,0.7614982392487462,3.0514335971274837,0.04298346106208502,3.146499808769741
3,"frozenset({'queue_3rd', 'runtime_1st'})",frozenset({'wait >= run'}),0.06398114881149708,0.2804114289810144,0.06393635035973157,0.9992998179526676,3.5636914714354475,0.045995304993652744,1027.7163971292455
4,"frozenset({'queue_1st', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.07647991685407353,0.6352599654155953,0.07647991685407353,1.0,1.574158697921074,0.02789528751836718,inf
5,"frozenset({'mean_util_low', 'freq_user'})",frozenset({'low_min_gpu_util'}),0.07658743313831073,0.6352599654155953,0.07656951375760454,0.9997660271408518,1.5737903875097685,0.02791658363089205,1558.8989078148823
6,"frozenset({'freq_user', 'runtime_3rd'})",frozenset({'low_min_gpu_util'}),0.0743923090018009,0.6352599654155953,0.05667004148336634,0.7617728531855956,1.1991513626822587,0.009411585839696021,1.5310599126159319
7,"frozenset({'freq_user', 'runtime_3rd'})",frozenset({'top_vc'}),0.0743923090018009,0.4651871231330245,0.07348738027613766,0.9878357220281826,2.123523358460853,0.038881036068366896,43.96585462006437
8,"frozenset({'runtime_3rd', 'freq_user', 'top_vc'})",frozenset({'low_min_gpu_util'}),0.07348738027613766,0.6352599654155953,0.05612350037182715,0.7637161667885881,1.2022104466931978,0.009439909719125249,1.5436520968324496
9,"frozenset({'low_min_gpu_util', 'freq_user', 'runtime_3rd'})",frozenset({'top_vc'}),0.05667004148336634,0.4651871231330245,0.05612350037182715,0.9903557312252964,2.128940553116074,0.02976132680635081,55.45395813415752
